name,team,byeWeek,value
Justin Tucker,BAL,10,$1
Harrison Butker,KC,8,$1
Daniel Carlson,LV,6,$1
Matt Gay,LAR,7,$1
Ryan Succop,TB,11,$1
Tyler Bass,BUF,7,$1
Greg Joseph,MIN,7,$1
Matt Prater,ARI,13,$1
Mason Crosby,GB,14,$1
Evan McPherson,CIN,10,$1
Nick Folk,NE,10,$1
Rodrigo Blankenship,IND,14,$1
Robbie Gould,SF,9,$1
Brandon McManus,DEN,9,$1
Brett Maher,DAL,9,$0
Dustin Hopkins,LAC,8,$0
Chris Boswell,PIT,9,$0
Randy Bullock,TEN,6,$0
Younghoe Koo,ATL,14,$0
Jake Elliott,PHI,7,$0
Wil Lutz,NO,14,$0
Jason Sanders,MIA,11,$0
Cairo Santos,CHI,14,$0
Jason Myers,SEA,11,$0
Graham Gano,NYG,9,$0
Cade York,CLE,9,$0
Ka'imi Fairbairn,HOU,6,$0
Joey Slye,WAS,14,$0
Austin Seibert,DET,6,$0
Tristan Vizcaino,NE,10,$0
Zane Gonzalez,CAR,13,$0
Josh Lambo,FA,0,$0
Chase McLaughlin,FA,0,$0
Greg Zuerlein,NYJ,10,$0
