name,team,byeWeek,value
Josh Allen,BUF,7,$90
Patrick Mahomes II,KC,8,$87
Justin Herbert,LAC,8,$75
Dak Prescott,DAL,9,$69
Tom Brady,TB,11,$69
Kyler Murray,ARI,13,$66
Lamar Jackson,BAL,10,$64
Jalen Hurts,PHI,7,$63
Joe Burrow,CIN,10,$61
Matthew Stafford,LAR,7,$61
Aaron Rodgers,GB,14,$60
Kirk Cousins,MIN,7,$54
Russell Wilson,DEN,9,$54
Trey Lance,SF,9,$51
Derek Carr,LV,6,$51
Tua Tagovailoa,MIA,11,$42
Ryan Tannehill,TEN,6,$40
Trevor Lawrence,JAC,11,$38
Matt Ryan,IND,14,$37
Mac Jones,NE,10,$35
Daniel Jones,NYG,9,$34
Jameis Winston,NO,14,$34
Carson Wentz,WAS,14,$33
Justin Fields,CHI,14,$32
Jared Goff,DET,6,$32
Zach Wilson,NYJ,10,$25
Davis Mills,HOU,6,$24
Baker Mayfield,CAR,13,$21
Marcus Mariota,ATL,14,$16
Mitch Trubisky,PIT,9,$13
Drew Lock,SEA,11,$2
Deshaun Watson,CLE,9,$1
Jacoby Brissett,CLE,9,$1
Jimmy Garoppolo,SF,9,$0
Geno Smith,SEA,11,$1
Desmond Ridder,ATL,14,$1
Kenny Pickett,PIT,9,$1
Sam Darnold,CAR,13,$1
Andy Dalton,NO,14,$1
Joe Flacco,NYJ,10,$1
Mason Rudolph,PIT,9,$1
Tyrod Taylor,NYG,9,$1
Taysom Hill,NO,14,$0
Malik Willis,TEN,6,$0
Teddy Bridgewater,MIA,11,$0
Matt Corral,CAR,13,$0
Gardner Minshew II,PHI,7,$0
Tyler Huntley,BAL,10,$0
Taylor Heinicke,WAS,14,$0
