name,team,byeWeek,value
Christian McCaffrey,CAR,13,$75
Jonathan Taylor,IND,14,$74
Austin Ekeler,LAC,8,$72
Derrick Henry,TEN,6,$61
Alvin Kamara,NO,14,$56
Najee Harris,PIT,9,$54
Joe Mixon,CIN,10,$54
Dalvin Cook,MIN,7,$53
Leonard Fournette,TB,11,$51
Aaron Jones,GB,14,$49
D'Andre Swift,DET,6,$48
Saquon Barkley,NYG,9,$47
James Conner,ARI,13,$45
Javonte Williams,DEN,9,$44
David Montgomery,CHI,14,$40
Ezekiel Elliott,DAL,9,$38
Nick Chubb,CLE,9,$37
Travis Etienne Jr.,JAC,11,$35
Cam Akers,LAR,7,$34
Breece Hall,NYJ,10,$33
Josh Jacobs,LV,6,$33
J.K. Dobbins,BAL,10,$32
Miles Sanders,PHI,7,$29
Elijah Mitchell,SF,9,$29
Antonio Gibson,WAS,14,$29
Damien Harris,NE,10,$26
Cordarrelle Patterson,ATL,14,$26
Tony Pollard,DAL,9,$26
Clyde Edwards-Helaire,KC,8,$24
Devin Singletary,BUF,7,$23
AJ Dillon,GB,14,$23
Rhamondre Stevenson,NE,10,$21
Chase Edmonds,MIA,11,$20
Kareem Hunt,CLE,9,$20
Rashaad Penny,SEA,11,$19
Melvin Gordon III,DEN,9,$16
Dameon Pierce,HOU,6,$13
James Cook,BUF,7,$12
Ken Walker III,SEA,11,$12
James Robinson,JAC,11,$11
Michael Carter,NYJ,10,$11
J.D. McKissic,WAS,14,$10
Nyheim Hines,IND,14,$9
Darrell Henderson Jr.,LAR,7,$9
Kenneth Gainwell,PHI,7,$9
Jamaal Williams,DET,6,$8
Marlon Mack,HOU,6,$8
Alexander Mattison,MIN,7,$7
Raheem Mostert,MIA,11,$6
Rex Burkhead,HOU,6,$6
Mark Ingram II,NO,14,$5
Isaiah Spiller,LAC,8,$5
Tyler Allgeier,ATL,14,$5
Rachaad White,TB,11,$5
Brian Robinson Jr.,WAS,14,$5
Gus Edwards,BAL,10,$4
Kenyan Drake,LV,6,$4
Darrel Williams,ARI,13,$4
Jerick McKinnon,KC,8,$3
Khalil Herbert,CHI,14,$3
Paul Quessenberry,HOU,6,$2
Damien Williams,ATL,14,$2
Isiah Pacheco,KC,8,$2
Dontrell Hilliard,TEN,6,$2
Trey Sermon,SF,9,$0
Andrew Beck,DEN,9,$2
Ronald Jones II,KC,8,$2
Zamir White,LV,6,$1
D'Onta Foreman,CAR,13,$0
Samaje Perine,CIN,10,$0
Sony Michel,MIA,11,$0
Matt Breida,NYG,9,$0
Boston Scott,PHI,7,$0
Kyle Juszczyk,SF,9,$0
Hassan Haskins,TEN,6,$0
Chuba Hubbard,CAR,13,$0
Tyrion Davis-Price,SF,9,$0
Ameer Abdullah,LV,6,$0
Brandon Bolden,LV,6,$0
Chris Evans,CIN,10,$0
D'Ernest Johnson,CLE,9,$0
Justin Jackson,DET,6,$0
Jeff Wilson Jr.,SF,9,$0
Ke'Shawn Vaughn,TB,11,$0
Joshua Kelley,LAC,8,$0
Craig Reynolds,DET,6,$0
Ty Johnson,NYJ,10,$0
Mike Davis,BAL,10,$0
Giovani Bernard,TB,11,$0
Phillip Lindsay,IND,14,$0
Eno Benjamin,ARI,13,$0
Ty Montgomery,NE,10,$0
Tevin Coleman,NYJ,10,$0
Travis Homer,SEA,11,$0
DeeJay Dallas,SEA,11,$0
Duke Johnson Jr.,BUF,7,$0
Benny Snell Jr.,PIT,9,$0
Myles Gaskin,MIA,11,$0
Zack Moss,BUF,7,$0
J.J. Taylor,NE,10,$0
Anthony McFarland Jr.,PIT,9,$0
David Johnson,FA,0,$0
Devontae Booker,FA,0,$0
Jermar Jefferson,DET,6,$0
Devonta Freeman,FA,0,$0
