name,team,byeWeek,value
Travis Kelce,KC,8,$39
Mark Andrews,BAL,10,$37
Kyle Pitts,ATL,14,$19
Darren Waller,LV,6,$19
Dalton Schultz,DAL,9,$17
George Kittle,SF,9,$16
Dallas Goedert,PHI,7,$11
T.J. Hockenson,DET,6,$10
Zach Ertz,ARI,13,$8
Mike Gesicki,MIA,11,$6
Hunter Henry,NE,10,$6
Noah Fant,SEA,11,$5
Pat Freiermuth,PIT,9,$5
Tyler Higbee,LAR,7,$4
Cole Kmet,CHI,14,$4
Dawson Knox,BUF,7,$4
David Njoku,CLE,9,$3
Gerald Everett,LAC,8,$3
Paul Quessenberry,HOU,6,$2
Andrew Beck,DEN,9,$2
Irv Smith Jr.,MIN,7,$2
Evan Engram,JAC,11,$1
Albert Okwuegbunam,DEN,9,$1
Logan Thomas,WAS,14,$0
Robert Tonyan,GB,14,$0
Austin Hooper,TEN,6,$0
Hayden Hurst,CIN,10,$0
Brevin Jordan,HOU,6,$0
Mo Alie-Cox,IND,14,$0
Adam Trautman,NO,14,$0
C.J. Uzomah,NYJ,10,$0
Kyle Rudolph,TB,11,$0
Cameron Brate,TB,11,$0
Trey McBride,ARI,13,$0
Tyler Conklin,NYJ,10,$0
Jonnu Smith,NE,10,$0
Harrison Bryant,CLE,9,$0
Dan Arnold,JAC,11,$0
Tommy Tremble,CAR,13,$0
Foster Moreau,LV,6,$0
Geoff Swaim,TEN,6,$0
O.J. Howard,BUF,7,$0
Daniel Bellinger,NYG,9,$0
James O'Shaughnessy,CHI,14,$0
Jelani Woods,IND,14,$0
Ricky Seals-Jones,NYG,9,$0
Donald Parham Jr.,LAC,8,$0
Pharaoh Brown,HOU,6,$0
Durham Smythe,MIA,11,$0
Anthony Firkser,ATL,14,$0
Jared Cook,FA,0,$0
