rank,tier,name,team,position,byeWeek,strengthOfSchedule,drop,pointsAboveProjection,gamesAboveProjection
1,1,Jonathan Taylor,IND,RB1,14, 5.6,0,+4.5,68% (11/16)
2,1,Christian McCaffrey,CAR,RB2,13, 3.4,0,-3.7,57% (4/7)
3,1,Derrick Henry,TEN,RB3,6, 6.8,+1,+4.0,50% (4/8)
4,1,Dalvin Cook,MIN,RB4,7, 6.0,+4,-2.0,33% (4/12)
5,1,Austin Ekeler,LAC,RB5,8, 3.8,-2,+1.7,53% (8/15)
6,2,Joe Mixon,CIN,RB6,10, 4.4,+4,+2.0,50% (8/16)
7,2,Najee Harris,PIT,RB7,9, 5.4,0,-0.5,50% (8/16)
8,2,Nick Chubb,CLE,RB8,9, 5.0,+8,-0.8,35% (5/14)
9,2,Justin Jefferson,MIN,WR1,7, 2.6,-3,+0.3,43% (7/16)
10,2,Cooper Kupp,LAR,WR2,7, 2.8,-5,+3.4,56% (9/16)
11,2,Ja'Marr Chase,CIN,WR3,10, 5.6,-2,+2.9,50% (8/16)
12,3,Travis Kelce,KC,TE1,8, 5.6,+1,-1.8,40% (6/15)
13,3,D'Andre Swift,DET,RB9,6, 6.8,-1,-1.1,50% (6/12)
14,3,Mark Andrews,BAL,TE2,10, 4.2,+9,+1.5,47% (8/17)
15,3,Saquon Barkley,NYG,RB10,9, 5.0,+5,-3.1,33% (4/12)
16,3,Alvin Kamara,NO,RB11,14, 5.2,+1,-2.1,41% (5/12)
17,3,Stefon Diggs,BUF,WR4,7, 5.2,-3,-2.1,31% (5/16)
18,3,Davante Adams,LV,WR5,6, 2.0,-7,-1.0,37% (6/16)
19,3,Deebo Samuel,SF,WR6,9, 3.6,-1,+3.1,60% (9/15)
20,3,CeeDee Lamb,DAL,WR7,9, 4.6,-1,-1.6,33% (5/15)
21,3,Aaron Jones,GB,RB12,14, 6.2,+1,-2.0,37% (6/16)
22,3,Javonte Williams,DEN,RB13,9, 4.0,-7,+0.5,43% (7/16)
23,4,Mike Evans,TB,WR8,11, 6.6,+4,-0.1,46% (7/15)
24,4,Leonard Fournette,TB,RB14,11, 2.2,+1,+2.6,57% (8/14)
25,4,Tyreek Hill,MIA,WR9,11, 2.4,-4,-2.1,37% (6/16)
26,4,James Conner,ARI,RB15,13, 2.8,+5,+5.2,71% (10/14)
27,4,A.J. Brown,PHI,WR10,7, 6.6,-1,-3.6,33% (4/12)
28,4,Kyle Pitts,ATL,TE3,14, 1.0,+4,-1.5,31% (5/16)
29,4,Ezekiel Elliott,DAL,RB16,9, 6.0,+1,-0.9,50% (8/16)
30,4,Tee Higgins,CIN,WR11,10, 6.6,+4,+1.2,50% (7/14)
31,4,Michael Pittman Jr.,IND,WR12,14, 6.6,+7,-0.7,43% (7/16)
32,4,Josh Allen,BUF,QB1,7, 3.4,-8,+0.3,43% (7/16)
